company,person,position,source,notes
Electrabel NV/SA,(no info found),,https://nl.wikipedia.org/wiki/Engie_Electrabel,"Searched https://nl.wikipedia.org/wiki/Engie_Electrabel — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
EVI Green Markets Pte. Ltd.,(no info found),,https://www.sgpbusiness.com/company/Evi-Green-Markets-Pte-Ltd,"Searched https://www.sgpbusiness.com/company/Evi-Green-Markets-Pte-Ltd — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Fairatmos International Pte. Ltd.,(no info found),,https://www.fairatmos.com/,Singapore entity of Fairatmos. Same founder/CEO as PT Udara Untuk Semua - FAIRATMOS (Natalia Rialucky Marsudi). See that row.
Form International B.V.,(no info found),,https://www.houtwereld.nl/handel/certificeringen-en-keurmerken/form-international-failliet-kans-op-doorstart-gering/,"Searched https://www.houtwereld.nl/handel/certificeringen-en-keurmerken/form-international-failliet-kans-op-doorstart-gering/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
"Forward Intelligence Energy Co., Ltd.",(no info found),,http://forward-intelligence.com/,"Searched http://forward-intelligence.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Global Mangrove Trust,(no info found),,https://globalmangrove.org,"Searched https://globalmangrove.org — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Himpanzee Pte Ltd,(no info found),,https://www.himpanzee.com/,"Searched https://www.himpanzee.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
HIVOS Humanist Institute for Co-operation with Developing Countries,(no info found),,https://hivos.nl,"Searched https://hivos.nl — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
"Indacom PTE, LTD.",(no info found),,https://www.linkedin.com/company/indacom/?originalSubdomain=sg,Only a LinkedIn URL is available (https://www.linkedin.com/company/indacom/?originalSubdomain=sg). LinkedIn requires authenticated access to view executives. Try the company's own website or news searches.
InfiniteEARTH,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
Japan Asia Group Ltd.,(no info found),,https://www.weforum.org/organizations/japan-asia-group-limited/,"Searched https://www.weforum.org/organizations/japan-asia-group-limited/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Jaringan untuk Hutan (JAUH),(no info found),,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
K.S.U Mahara,(no info found),,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Knowledge Integration Services (Singapore) PTE. Ltd.,(no info found),,https://kisgroup.net/,"Searched https://kisgroup.net/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Knowledge Intergration Services (Singapore) Pte. Ltd,(no info found),,https://kisgroup.net/,"Searched https://kisgroup.net/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Koalisi Pegiat Lingkungan Pulau Belitung (KPLPB),(no info found),,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Kokusai Kogyo,(no info found),,https://www.kkc.co.jp/english/,"Searched https://www.kkc.co.jp/english/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Kopepi Ketiara,(no info found),,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Koperasi Gayo Antara,(no info found),,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Koperasi Kopi Gayo Organik (KKGO),(no info found),,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Kosher Climate India Pvt. Ltd.,(no info found),,https://kosherclimate.com/about/,"Searched https://kosherclimate.com/about/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
"KPHP Tasik Besar Serkap, Riau Province-Indonesia",(no info found),,??,KPHP = Forest Management Unit (governmental technical implementation unit under Ministry of Environment and Forestry). Try Ministry of Environment and Forestry (Kementerian LHK) staff directory.
Kuoni Travel Holding Limited,(no info found),,https://assurance-platform.goldstandard.org/project-documents/GS1374,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://assurance-platform.goldstandard.org/project-documents/GS1374 for company contact details, or search for the company on companieshouse.id."
Lembaga Pengelola Hutan Desa (LPHD) Batampang,(no info found),,XXX,"Village Forest Management Institute (LPHD). Leaders are local; try the Verra/Plan Vivo project documents for the parent project, or Indonesian Ministry of Environment records."
Lembaga Pengelola Hutan Desa (LPHD) Batilap,(no info found),,XXX,"Village Forest Management Institute (LPHD). Leaders are local; try the Verra/Plan Vivo project documents for the parent project, or Indonesian Ministry of Environment records."
Leuser Hijau Lestari (LAHIR),(no info found),,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/ for company contact details, or search for the company on companieshouse.id."
Livelihoods Carbon Fund SICAV-RAIF,(no info found),,https://innpact.com/references/lcf3-livelihoods-carbon-fund/,"Searched https://innpact.com/references/lcf3-livelihoods-carbon-fund/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Livelihoods Fund SICAV SUF,(no info found),,https://livelihoods.eu/,"Searched https://livelihoods.eu/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Livelihoods Venture,(no info found),,https://livelihoods.eu/press-release-livelihoods-venture-announces-the-appointment-of-its-ceo/,"Searched https://livelihoods.eu/press-release-livelihoods-venture-announces-the-appointment-of-its-ceo/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
LPHD Ambarawa,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Ambawang,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Batu Ampar,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Betuah,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Dabong,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Dusun Besar,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Dusun Kecil,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Kampung Baru,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Kampung Baru Head,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Kemboja,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Kubu,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Medan Mas,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Mengkalang,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Nipah Panjang,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Padang Tikar Satu,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Satai Lestari,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Setuat Dua,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Sungai Bemban,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Sungai Besar,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Sungai Jawi,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Tanjung Beringin,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Tanjung Harapan,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Tanjung Satai,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Tasik Malaya,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Teluk Bakung,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
LPHD Teluk Nibung,(no info found),,XXX,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
"LPTP Lembaga PEMBANGUNAN Teknologi Perdesaan (Foundation for the development of
rural tecnologies)",(no info found),,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I7,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I7 for company contact details, or search for the company on companieshouse.id."
Manggala Karbon Indonesia,(no info found),,https://vlinderclimate.com/kupu-kupu,"Searched https://vlinderclimate.com/kupu-kupu — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Masarang Foundation,(no info found),,https://masarang.eu/,"Searched https://masarang.eu/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Medan Mas village,(no info found),,https://registry.verra.org/app/projectDetail/VCS/3228,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Ministry of Climate and Energy Danish Energy Agency,(no info found),,https://cdm.unfccc.int/UserManagement/FileStorage/XF8CZ04RIDNJPK2GWH169O7BQVYETL,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://cdm.unfccc.int/UserManagement/FileStorage/XF8CZ04RIDNJPK2GWH169O7BQVYETL for company contact details, or search for the company on companieshouse.id."
Monsoon Carbon Pte. Ltd.,(no info found),,www.monsooncarbon.com,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
myclimate – The Climate Protection Partnership,(no info found),,https://www.myclimate.org/en/get-active/climate-protection-projects/,"Searched https://www.myclimate.org/en/get-active/climate-protection-projects/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Neusa Global Pte Ltd,(no info found),,https://www.credencedata.com/company-profile/sgp/neusa-global-pte-ltd-27ef2708,"Searched https://www.credencedata.com/company-profile/sgp/neusa-global-pte-ltd-27ef2708 — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Nipah Panjang village,(no info found),,https://registry.verra.org/app/projectDetail/VCS/3229,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Nusantara Climate Initiative Indonesia,(no info found),,https://nusantaraclimate.co.id/,"Searched https://nusantaraclimate.co.id/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Orangutan Foundation International,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
Padang Tikar Sahu village,(no info found),,https://registry.verra.org/app/projectDetail/VCS/3230,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Perkumpulan SAMPAN Kalimantan,(no info found),,https://sampankalimantan.id/,"Searched https://sampankalimantan.id/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Perumda Air Minum Tirta Rangga Subang,(no info found),,https://www.instagram.com/perumdatrs/,"Searched https://www.instagram.com/perumdatrs/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Perusahaan Listrik Negara (PT. PLN (Persero),(no info found),,,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
Project Team ATR Inc.,(no info found),,https://enatr.imweb.me/69,"Searched https://enatr.imweb.me/69 — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Agrinergy Indonesia,(no info found),,http://www.agrinergy.com/,"Searched http://www.agrinergy.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Andalas Agro Industry,(no info found),,https://rspo.org/wp-content/uploads/RSPO-Public-Announcement-Template-ENG-PT-Andalas-Agro-Industri.pdf,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://rspo.org/wp-content/uploads/RSPO-Public-Announcement-Template-ENG-PT-Andalas-Agro-Industri.pdf for company contact details, or search for the company on companieshouse.id."
PT Andalas Wahana Berjaya,(no info found),,,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Asia Pasifik Asset Percayaan,(no info found),,https://trustindonesia.co.id/,"Searched https://trustindonesia.co.id/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Austral Byna,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Belantara Sejahtera Mandiri,(no info found),,https://www.tap-agri.com/,"Searched https://www.tap-agri.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Bintang Lima Makmur,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT CarbonX Bumi Harmoni,(no info found),,https://www.carbonxco.com/contact-us,"Searched https://www.carbonxco.com/contact-us — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Charged Tech Indonesia,(no info found),,https://charged.asia/,"Searched https://charged.asia/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Citra Mulia Inti,(no info found),,?,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Dewa Agricoco Indonesia,(no info found),,https://www.dewacoco.com/,"Searched https://www.dewacoco.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Energi Bayu Jeneponto,(no info found),,https://www.adb.org/sites/default/files/project-documents/51209/51209-001-esmr-en_3.pdf,"Searched https://www.adb.org/sites/default/files/project-documents/51209/51209-001-esmr-en_3.pdf — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Energi Selalu Baru (ESB),(no info found),,https://www.nfcindonesia.id/copy-of-esb,"Searched https://www.nfcindonesia.id/copy-of-esb — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Farinda Bersaudara,(no info found),,,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Global Alam Lestari,(no info found),,https://globalalamlestari.wordpress.com/,"Searched https://globalalamlestari.wordpress.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Gree Energy Hamparan,(no info found),,https://gree-energy.com/project/hamparan/,"Searched https://gree-energy.com/project/hamparan/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Green Ekonomi Sejahtera,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Hamparan Bumi Mas Abadi,(no info found),,https://companieshouse.id/hamparan-bumi-mas-abadi,"Indonesian business registry entry (https://companieshouse.id/hamparan-bumi-mas-abadi) typically lists the founding directors at incorporation but not current leadership. Try news searches in Indonesian (Tempo, Kompas, Bisnis Indonesia) or LinkedIn."
PT Hamparan Eco Semesta,(no info found),,https://www.linkedin.com/company/hes-foundation-yayasan-hamparan-eco-semesta/,Only a LinkedIn URL is available (https://www.linkedin.com/company/hes-foundation-yayasan-hamparan-eco-semesta/). LinkedIn requires authenticated access to view executives. Try the company's own website or news searches.
PT Hatfield Indonesia,(no info found),,https://hatfieldgroup.com/region/indonesia/,"See ""Hatfield Consultants (parent of PT Hatfield Indonesia)"" for parent leadership. Indonesia subsidiary leadership not publicly listed; try hatfieldgroup.com/region/indonesia/."
PT Holland For Water (Navaza),(no info found),,https://global.nazava.com,"See ""Nazava (parent of PT Holland For Water)"" for parent founders. Indonesia-specific leadership shown only by first name on global.nazava.com (e.g. ""Ayie - Country Manager"") — too ambiguous to record. Try LinkedIn."
PT Indika Multi Properti (PT IMP),(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Indo Hutan Ekosistem,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Indonesia Power,(no info found),,State company (a part of PLN),"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Infrastruktur Terbarukan Adhiguna,(no info found),,https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf,"Searched https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Infrastruktur Terbarukan Buana,(no info found),,https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf,"Searched https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Infrastruktur Terbarukan Cemerlang,(no info found),,https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf,"Searched https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Infrastruktur Terbarukan Lestari,(no info found),,https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf,"Searched https://climatetrade.s3.amazonaws.com/media/projects/documentation/validation/4f495327-5b8b-431a-a949-ef4a0301a49a_EgT7LR0.pdf — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Intan Sejati Andalan,(no info found),,https://www.facebook.com/pages/PT.%20Intan%20Sejati%20Andalan/611684005944759/#,"Only a Facebook page is available (https://www.facebook.com/pages/PT.%20Intan%20Sejati%20Andalan/611684005944759/#). Try checking that page's ""About"" section, the company's website, or LinkedIn."
PT Jati Dharma Indah Plywood Industries,(no info found),,https://sinarwijayagroup.com/our-companies/jati+dharma+indah+plywood+industries,"Searched https://sinarwijayagroup.com/our-companies/jati+dharma+indah+plywood+industries — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT KALTIM HUTAMA,(no info found),,https://www.sinarwijayagroup.com/our-companies/kaltim+hutama,"Searched https://www.sinarwijayagroup.com/our-companies/kaltim+hutama — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Kandelia Alam,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Konsultan Karbon Lestari,(no info found),,https://www.linkedin.com/company/konsultan-karbon-lestari/?originalSubdomain=id,Only a LinkedIn URL is available (https://www.linkedin.com/company/konsultan-karbon-lestari/?originalSubdomain=id). LinkedIn requires authenticated access to view executives. Try the company's own website or news searches.
PT Mohairson Pawan Khatulistiwa,(no info found),,https://ptmpk.com/id-ds/public/,"Searched https://ptmpk.com/id-ds/public/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Musim Mas,(no info found),,https://cdm.unfccc.int/UserManagement/FileStorage/XF8CZ04RIDNJPK2GWH169O7BQVYETL,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://cdm.unfccc.int/UserManagement/FileStorage/XF8CZ04RIDNJPK2GWH169O7BQVYETL for company contact details, or search for the company on companieshouse.id."
PT Navigat Organic Energy Indonesia,(no info found),,https://maxpowergroup.com/contact-us/,"Searched https://maxpowergroup.com/contact-us/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Nusantara Solusi Raya,(no info found),,https://www.alihdayansr.com/,"Searched https://www.alihdayansr.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Pagatan Usaha Makmur,(no info found),,https://plumproject.id/,"Searched https://plumproject.id/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Pasadena Biofuel Mandiri,(no info found),,https://www.linkedin.com/company/pt-pasadena-biofuels-mandiri/?originalSubdomain=id,Only a LinkedIn URL is available (https://www.linkedin.com/company/pt-pasadena-biofuels-mandiri/?originalSubdomain=id). LinkedIn requires authenticated access to view executives. Try the company's own website or news searches.
PT Ramang Agro Lestari,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Rimbun Seruyan,(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Rize Farm Indonesia,(no info found),,https://www.rize.farm/contact,"Searched https://www.rize.farm/contact — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Rohul Sawit Industri,(no info found),,https://repository.uir.ac.id/3334/7/bab4.pdf,"Searched https://repository.uir.ac.id/3334/7/bab4.pdf — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
PT Sarana Prima Multi Niaga,(no info found),,,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Strata Pacific (proponent),(no info found),,https://www.linkedin.com/company/pt-strata-pacific,Only a LinkedIn URL is available (https://www.linkedin.com/company/pt-strata-pacific). LinkedIn requires authenticated access to view executives. Try the company's own website or news searches.
PT Telaga Mas Kalimantan (PT TMK),(no info found),,XXX,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
PT Terrathrive Bakti Indonesia,(no info found),,https://plumproject.id/,"Searched https://plumproject.id/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
